,nombre_Municipio,latitud,longitud,categoria,nombre_Lugar,direccion,distancia
0,La Acebeda,41.0869583,-3.624399,13065,La Posada de los Vientos,"Calle Encerradero, 2",36
1,La Acebeda,41.0869583,-3.624399,13065,El Acebo,"Calle Puerto, 2",113
2,Ajalvir,40.5342302,-3.4807818,16032,Chiquitin,Ajalvir Madrid,333
3,Ajalvir,40.5342302,-3.4807818,16032,Diverjungla,"Calle Segovia, 20",563
4,Ajalvir,40.5342302,-3.4807818,16032,Parque Infantil,,1724
5,Ajalvir,40.5342302,-3.4807818,13065,Bar Manolo,"Plaza de la Villa, 5",58
6,Ajalvir,40.5342302,-3.4807818,13065,Jurassic Pan,"Carretera de Daganzo, 17",148
7,Ajalvir,40.5342302,-3.4807818,13065,Bar Julio's,"Calle Real, 1",257
8,Ajalvir,40.5342302,-3.4807818,13065,Restaurante el Timon,"Soria, 1",344
9,Ajalvir,40.5342302,-3.4807818,13065,Martinez Villa Antonio,"Calle Senderillo, 2",404
10,Ajalvir,40.5342302,-3.4807818,13065,Be Fast Pan & Pasteles,"Calle Segovia, 6",505
11,Ajalvir,40.5342302,-3.4807818,13065,Risi,"Calle Severo Ochoa, 2",1491
12,Ajalvir,40.5342302,-3.4807818,13065,Telepizza,"Severo Ochoa Polígono Industrial Gitesa, 1",1491
13,Ajalvir,40.5342302,-3.4807818,13065,El 22,"Avenida Industrias, 2",1641
14,Ajalvir,40.5342302,-3.4807818,13065,Zaino,"Calle Franklin, 5",1658
15,Ajalvir,40.5342302,-3.4807818,11037,Alcamar,"Carretera Ajalvir-Torrejon Ardoz, Km 1900",11
16,Alameda del Valle,40.9177178,-3.8438216,13065,Bar Rufino,"Plaza Santa Marina, 1",11
17,Alameda del Valle,40.9177178,-3.8438216,13065,Restaurante Taberna del Alamillo,"Calle de la Taberna, 26",157
18,Alameda del Valle,40.9177178,-3.8438216,13065,Restaurante el Colorao,"Travesía de Grande, 8",219
19,Alameda del Valle,40.9177178,-3.8438216,13065,El Mirador de Alameda,"Travesía de la Cochera, 10",249
20,Alameda del Valle,40.9177178,-3.8438216,13065,Restaurante el boliche,"Calle del Rio, 13",941
21,Alameda del Valle,40.9177178,-3.8438216,13065,Casa Ormaza,"Río, 3",949
22,Alameda del Valle,40.9177178,-3.8438216,13065,La Junquera,"Calle Río, 3",954
23,El Álamo,40.2307296,-3.9905893,16032,Isla Perejil,28607 El Alamo Comunidad de Madrid,118
24,El Álamo,40.2307296,-3.9905893,16032,Parque de Madera,,582
25,El Álamo,40.2307296,-3.9905893,13065,Mesón la Sardina,"Plaza Constitución, 11",19
26,El Álamo,40.2307296,-3.9905893,13065,El Capricho del Alamo,"Calle de las Escuelas, 2",26
27,El Álamo,40.2307296,-3.9905893,13065,Meson de la Villa,"Callejon Luis l Oliveros, 8",63
28,El Álamo,40.2307296,-3.9905893,13065,Buyong Ruan,"Avenida Madrid, 8",67
29,El Álamo,40.2307296,-3.9905893,13065,La Posada del Sol,"Calle de las Escuelas, 12",71
30,El Álamo,40.2307296,-3.9905893,13065,4 Rosas,"Calle de las Escuelas, 36",266
31,El Álamo,40.2307296,-3.9905893,13065,La Bellota,"Avenida Madrid, s/n",290
32,El Álamo,40.2307296,-3.9905893,13065,El Cenador de el Álamo,"Calle Escuelas, 46",348
33,El Álamo,40.2307296,-3.9905893,13065,El Porton del Alamo,"Carretera M-404, Navalcarnero-Chinchon, Km 6,5",803
34,El Álamo,40.2307296,-3.9905893,13065,Restaurante Indalo,"Pº. de Aviles, 24",847
35,Alcalá de Henares,40.4818396,-3.3644973,16032,Parque del Louisi,Alcalá de Henares Comunidad de Madrid,326
36,Alcalá de Henares,40.4818396,-3.3644973,16032,Parque Infantil,28801 Alcalá de Henares Comunidad de Madrid,392
37,Alcalá de Henares,40.4818396,-3.3644973,16032,Parque Salvador de Madariaga,Alcalá de Henares Comunidad de Madrid,515
38,Alcalá de Henares,40.4818396,-3.3644973,16032,Parque de Sementales,"Ronda Fiscal, 28804 Alcalá de Henares Comunidad de Madrid",518
39,Alcalá de Henares,40.4818396,-3.3644973,16032,Parque O'Donnell,"Calle de Luis de Astrana Marín, 8",593
40,Alcalá de Henares,40.4818396,-3.3644973,16032,Parque Isla del Colegio,Alcalá de Henares Comunidad de Madrid,600
41,Alcalá de Henares,40.4818396,-3.3644973,16032,Ermita de San Isidro (Alcalá de Henares),28805 Alcalá de Henares Comunidad de Madrid,711
42,Alcalá de Henares,40.4818396,-3.3644973,16032,Parque San Isidro,28800 Alcalá de Henares Comunidad de Madrid,726
43,Alcalá de Henares,40.4818396,-3.3644973,16032,Parque el Silo,,768
44,Alcalá de Henares,40.4818396,-3.3644973,16032,Parque de Sementales,Madrid,792
45,Alcalá de Henares,40.4818396,-3.3644973,17114,C.C. la Dehesa,"Plaza de Zorita, s/n",307
